price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone
USD 170.000,180m²,182m²,4,3,1,3,,En construcción,",  Córdoba, Córdoba"
USD 960.000,771m²,320m²,5,4,,4,1,50,",  Olivos, Vicente López"
,,,,,,,,,
,,,,,,,,,
USD 310.000,1100m²,200m²,4,3,,3,1,A estrenar,",  San Gabriel, Villanueva"
USD 650.000,872m²,235m²,5,4,,4,,A estrenar,",  La Lomada, Pilar"
USD 185.000,180m²,,4,3,,3,1,A estrenar,",  Córdoba, Córdoba"
USD 314.000,480m²,190m²,4,2,1,3,,2,",  Las Tipas, Nordelta"
USD 880.000,5000m²,1000m²,7,4,,6,,7,",  Farm Club, Pilar"
,,,,,,,,,
USD 420.000,1900m²,300m²,6,2,,4,1,8,",  Valle Escondido , Córdoba"
USD 470.000,180m²,160m²,4,2,1,3,1,40,",  Vicente López, Vicente López"
USD 140.000,100m²,100m²,4,,,3,,50,",  Boulogne Sur Mer, San Isidro"
USD 799.000,730m²,251m²,0,5,,5,1,A estrenar,",  Los Lagos, Nordelta"
USD 370.000,588m²,195m²,,2,,3,,1,",  Puertos, Escobar"
USD 2.400.000,743m²,706m²,,8,,7,,3,",  El Golf, Nordelta"
,,,,,,,,,
